system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Corpo_dagua_continental,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,ID,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,bdod,black_soil_prob,cagb,cbgb,cdw,cec,cfvo,clay,clayminerals,clitter,convergence,cti,ctotal,eastness,elevation,latitude,ln_clay_sand,ln_silt_sand,longitude,lv1_Dry_season,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_semiarid,lv2_with_dry_summer,lv2_with_dry_winter,lv2_with_dry_winter_1,lv2_without_dry_season,lv3_and_hot,lv3_and_hot_summer,lv3_and_short_and_cool_summer,lv3_and_temperate,lv3_and_temperate_summer,lv3_low_latitude_and_altitude,lv3_with_hot_summer,lv3_with_temperate_summer,nitrogen,northness,oxides,pcurv,phh2o,prediction_clay_0_30cm,prediction_sand_0_30cm,prediction_silt_0_30cm,roughness,sand,silt,slope,soc,spi,.geo
000000000000000001ed,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1352,0,0,0,2,0,1,9,1,137,4.0,9.59,5.85,1.25,227,48,270,79,1.6,0,-4,18.28,0,388,4500,-1.662785044614633,-2.725849068245967,5696,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,193,0,67,16.89642432621683,74.59723677912525,8.50633889465791,2,523,205,0,87,0,"{""type"":""Point"",""coordinates"":[-40.496008459329914,-9.500360044924385]}"
000000000000000001ee,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1353,0,0,0,5,0,1,13,4,139,5.0,9.59,5.85,1.25,233,71,251,73,1.6,-5,5,18.28,1,499,4894,-0.746828977411312,-1.267058562141438,5527,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,175,0,67,24.105260955554645,59.59426636109678,16.300472683348566,2,533,214,1,67,0,"{""type"":""Point"",""coordinates"":[-40.327842381301316,-9.894629300969015]}"
000000000000000001ef,0,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1354,0,0,0,3,0,1,13,6,138,5.0,9.59,5.85,1.25,238,79,240,77,1.6,1,2,18.28,0,548,4965,-0.655448556814404,-1.450694715476282,5546,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,1,206,0,66,27.737968661509154,55.59360258426539,16.66842875422545,2,559,199,1,77,0,"{""type"":""Point"",""coordinates"":[-40.34616928663098,-9.965506712213536]}"
000000000000000001f0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1761,0,0,0,5,0,1,8,2,137,4.0,9.59,5.85,1.25,168,73,245,77,1.6,-15,14,18.28,0,471,4795,-1.473023179591829,-1.696223847023887,5740,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,194,0,65,21.27968887306821,64.31389853645962,14.406412590472167,2,519,233,0,57,0,"{""type"":""Point"",""coordinates"":[-40.54074216109809,-9.795721980502531]}"
000000000000000001f1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,1762,0,0,0,6,0,1,9,1,137,4.0,9.59,5.85,1.25,167,74,253,74,1.6,0,0,18.28,0,479,4804,-1.301228696118043,-1.086373479097507,5741,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,161,0,66,21.423409162768415,62.015864858162494,16.560725979069087,2,505,240,0,55,0,"{""type"":""Point"",""coordinates"":[-40.54101416626235,-9.804885433167362]}"
000000000000000001f3,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1764,0,0,0,3,0,1,14,5,138,5.0,9.59,5.85,1.25,249,76,257,68,1.6,6,15,18.28,0,500,4900,-0.988121235246269,-1.699799080452987,5529,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,182,0,67,25.191849426704906,59.156597555064664,15.651553018230443,2,518,221,0,75,0,"{""type"":""Point"",""coordinates"":[-40.330000586211185,-9.900827451433303]}"
000000000000000001f4,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,1765,0,0,0,3,0,1,11,4,140,10.0,9.59,5.85,1.25,218,70,245,78,1.6,27,51,18.28,0,526,4914,-0.341824818906989,-0.957959160036753,5560,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,195,0,66,26.21881259386134,54.27790099128341,19.503286414855257,2,541,212,0,65,3,"{""type"":""Point"",""coordinates"":[-40.360991338532635,-9.914842406044285]}"
000000000000000001f5,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,1766,0,0,0,4,0,1,12,5,139,5.0,9.59,5.85,1.25,214,72,252,71,1.6,16,20,18.28,1,513,4923,-0.599649841945863,-0.980230678044453,5541,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,210,0,67,27.282750487225815,55.34352812511622,17.373721387657962,3,540,204,1,69,0,"{""type"":""Point"",""coordinates"":[-40.341317784684826,-9.92319430231739]}"
000000000000000001f7,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1768,0,0,0,2,0,1,8,0,137,4.0,9.59,5.85,1.25,208,59,274,74,1.6,-20,0,18.28,-1,383,4489,-2.157013623079755,-2.964944640970324,5701,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,187,0,68,15.319299340751764,75.92828296936418,8.752417689884053,4,504,219,1,77,0,"{""type"":""Point"",""coordinates"":[-40.501939063731,-9.489310392513945]}"
000000000000000001f8,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1769,0,0,0,1,0,1,12,2,138,4.0,9.59,5.85,1.25,163,62,272,81,1.6,18,8,18.28,0,396,4534,-2.046917675814489,-2.674823390978229,5719,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,203,0,64,11.805437456598451,79.83050572119956,8.364056822202004,2,525,200,1,62,0,"{""type"":""Point"",""coordinates"":[-40.51972195873214,-9.534851191572788]}"
