id,coord_x,coord_y,depth,clay,silt,sand
ctb0796-23,-43.43505,-22.38397,22.5,43,7,50
ctb0796-23,-43.43505,-22.38397,34,45,6,49
ctb0796-24,-43.42465,-22.44578,9,34,11,55
ctb0796-24,-43.42465,-22.44578,28,44,10,46
ctb0796-25,-43.40039,-22.4138,2.5,36,11,53
ctb0796-25,-43.40039,-22.4138,11.5,38,9,53
ctb0796-25,-43.40039,-22.4138,28.5,46,7,47
ctb0796-26,-43.35202,-22.42719,9,39,10,51
ctb0796-26,-43.35202,-22.42719,24,46,12,42
ctb0796-26,-43.35202,-22.42719,47,51,8,41
ctb0796-27,-43.36102,-22.4034,12.5,32,15,53
ctb0796-27,-43.36102,-22.4034,32.5,44,15,41
ctb0796-28,-43.35608,-22.39194,4.5,41,8,51
ctb0796-28,-43.35608,-22.39194,13,45,10,45
ctb0796-28,-43.35608,-22.39194,31,53,10,37
ctb0796-29,-43.36138,-22.3904,8.5,40,9,51
ctb0796-29,-43.36138,-22.3904,21.5,46,8,46
ctb0796-29,-43.36138,-22.3904,31.5,57,5,38
ctb0796-3,-43.45722,-22.4156,7.5,22,9,69
ctb0796-3,-43.45722,-22.4156,23.5,36,9,55
ctb0796-30,-43.38399,-22.38531,26,45,10,45
ctb0796-33,-43.49698,-22.46668,8,30,12,58
ctb0796-33,-43.49698,-22.46668,30,39,10,51
ctb0796-34,-43.45159,-22.43015,3.5,32,12,56
ctb0796-34,-43.45159,-22.43015,18,38,12,50
ctb0796-34,-43.45159,-22.43015,53,43,13,44
ctb0796-38,-43.3639,-22.39937,6.5,32,15,53
ctb0796-38,-43.3639,-22.39937,25,49,10,41
ctb0796-39,-43.41177,-22.34389,11.5,58,34,8
ctb0796-39,-43.41177,-22.34389,34,66,30,4
ctb0796-40,-43.40171,-22.36305,5,39,10,51
ctb0796-42,-43.41866,-22.31421,9,18,12,70
ctb0796-42,-43.41866,-22.31421,39.5,14,15,71
ctb0796-44,-43.38598,-22.2994,6.5,14,14,72
ctb0796-44,-43.38598,-22.2994,24,14,11,75
ctb0796-45,-43.50354,-22.3411,11.5,49,9,42
ctb0796-47,-43.45027,-22.31077,15,41,9,50
ctb0796-47,-43.45027,-22.31077,51,49,6,45
ctb0796-49,-43.46367,-22.33947,11,13,11,76
ctb0796-5,-43.45127,-22.39805,10,24,13,63
ctb0796-5,-43.45127,-22.39805,32.5,24,12,64
ctb0796-51,-43.4812,-22.37127,11,26,14,60
ctb0796-51,-43.4812,-22.37127,30.5,32,13,55
ctb0796-53,-43.47165,-22.3071,11,34,20,46
ctb0796-54,-43.49124,-22.30933,14,14,12,74
ctb0796-54,-43.49124,-22.30933,37,30,10,60
ctb0796-55,-43.40443,-22.30517,10,22,14,64
ctb0796-55,-43.40443,-22.30517,33,30,12,58
ctb0796-56,-43.37288,-22.41097,14,20,20,60
ctb0796-56,-43.37288,-22.41097,44,18,15,67
ctb0796-63,-43.33911,-22.30172,8.5,34,14,52
ctb0796-63,-43.33911,-22.30172,21,36,15,49
ctb0796-63,-43.33911,-22.30172,42.5,45,12,43
ctb0796-64,-43.35829,-22.28878,14.5,45,11,44
ctb0796-64,-43.35829,-22.28878,49.5,55,9,36
ctb0796-65,-43.3616,-22.31515,12,43,10,47
ctb0796-65,-43.3616,-22.31515,32.5,49,10,41
ctb0796-67,-43.33552,-22.31788,8,41,12,47
ctb0796-67,-43.33552,-22.31788,23,47,13,40
ctb0796-67,-43.33552,-22.31788,55.5,51,13,36
ctb0796-7,-43.4559,-22.39749,15,43,11,46
ctb0796-7,-43.4559,-22.39749,50,42,11,47
ctb0796-72,-43.33259,-22.36334,10,41,12,47
ctb0796-72,-43.33259,-22.36334,29,49,12,39
ctb0796-76,-43.33105,-22.39057,10.5,32,13,55
ctb0796-76,-43.33105,-22.39057,30,40,13,47
ctb0796-78,-43.32839,-22.41193,11,32,15,53
ctb0796-8,-43.47033,-22.40091,10,18,14,68
ctb0796-8,-43.47033,-22.40091,33,24,16,60
ctb0796-83,-43.34169,-22.43717,6.5,49,13,38
ctb0796-9,-43.44986,-22.40516,7.5,45,15,40
ctb0796-9,-43.44986,-22.40516,24.5,51,15,34
ctb0797-RS-(15-IGRA),-51.78519,-30.93669,11.5,19,37,44
ctb0797-RS-(15-IGRA),-51.78519,-30.93669,31.5,14,36,50
ctb0797-RS-(IGRA-1),-51.83111,-30.79028,15,11,20,69
ctb0797-RS-(IGRA-1),-51.83111,-30.79028,36,20,24,56
ctb0797-RS-1,-53.74944,-29.86472,10,14,30,56
ctb0797-RS-1,-53.74944,-29.86472,30,16,28,56
ctb0797-RS-107,-54.35144,-30.6348,15,9,23,68
ctb0797-RS-107,-54.35144,-30.6348,50,8,24,68
ctb0797-RS-109,-54.53504,-30.26373,10,35,54,11
ctb0797-RS-109,-54.53504,-30.26373,30,68,29,3
ctb0797-RS-11,-54.13611,-31.55472,12.5,17,42,41
ctb0797-RS-11,-54.13611,-31.55472,32.5,44,34,22
ctb0797-RS-110,-54.5667,-30.2667,15,10,26,64
ctb0797-RS-110,-54.5667,-30.2667,37.5,8,28,64
ctb0797-RS-112,-53.61444,-30.66111,17.5,20,26,54
ctb0797-RS-113,-53.82167,-30.81667,15,33,25,42
ctb0797-RS-114,-53.27111,-30.67333,15,16,26,58
ctb0797-RS-114,-53.27111,-30.67333,37.5,17,26,57
ctb0797-RS-117,-53.045,-30.24722,20,33,22,45
ctb0797-RS-118,-53.82013,-30.81375,10,34,40,26
ctb0797-RS-118,-53.82013,-30.81375,60,33,40,27
ctb0797-RS-12,-54.20028,-31.25306,12.5,12,13,75
ctb0797-RS-12,-54.20028,-31.25306,47.5,19,15,66
ctb0797-RS-120,-54.40361,-31.12111,15,9,13,78
ctb0797-RS-120,-54.40361,-31.12111,42.5,11,15,74
ctb0797-RS-122,-54.1738,-31.25935,10,17,31,52
ctb0797-RS-122,-54.1738,-31.25935,27.5,28,30,42
ctb0797-RS-124,-52.49222,-29.71333,7.5,25,64,11
ctb0797-RS-124,-52.49222,-29.71333,20,17,69,14
ctb0797-RS-124,-52.49222,-29.71333,38.5,23,63,14
ctb0797-RS-125,-52.76603,-29.66884,15,36,60,4
ctb0797-RS-125,-52.76603,-29.66884,46.5,36,57,7
ctb0797-RS-128,-51.15,-29.65417,10,8,12,80
ctb0797-RS-128,-51.15,-29.65417,31,10,13,77
ctb0797-RS-13,-53.40056,-31.54528,10,21,24,55
ctb0797-RS-130,-54.15373,-31.66097,10,60,36,4
ctb0797-RS-130,-54.15373,-31.66097,31.5,77,21,2
ctb0797-RS-135,-55.08222,-30.53639,12.5,15,12,73
ctb0797-RS-135,-55.08222,-30.53639,45,12,10,78
ctb0797-RS-136,-55.19111,-30.87583,35,13,12,75
ctb0797-RS-137,-52.96388,-30.16245,22.5,17,33,50
ctb0797-RS-140,-52.37444,-30.11028,25,28,15,57
ctb0797-RS-141,-55.81472,-30.67778,7.5,52,43,5
ctb0797-RS-141,-55.81472,-30.67778,42.5,66,31,3
ctb0797-RS-142,-53.4481,-30.68474,10,10,13,77
ctb0797-RS-142,-53.4481,-30.68474,30,10,14,76
ctb0797-RS-148,-57.53028,-30.21139,15,25,50,25
ctb0797-RS-148,-57.53028,-30.21139,43.5,40,41,19
ctb0797-RS-150,-52.15278,-28.90167,12.5,36,53,11
